record_id,farmer_id,crop,state,lga,harvest_date,season,quantity_harvested_kg,post_harvest_loss_pct,quantity_sold_kg,farm_gate_price_per_kg,market_price_per_kg,gross_revenue_ngn,transport_mode,transport_cost_ngn,destination_market,days_to_market,storage_type,fertilizer_used,irrigation_used,cooperative_member
AGR-600000,FRM-04193,Pepper,Niger,Forbesborough,12/29/2022,Dry Season,26572.09,13.4,23011.43,847.97,1642.09,37786839.09,Rail,6700,Eke Awka,2,Cold Storage,No,Yes,Yes
AGR-600001,FRM-06299,Cassava,Anambra,Perryborough,2/1/2023,Off-Season,32172.37,5.4,30435.06,214.79,315.2,9593130.91,Van,8200,Dawanau Market,15,Silo,Yes,No,No
AGR-600002,FRM-07052,Pepper,Ogun,Clarktown,1/10/2023,Wet Season,15575.47,10.9,13877.74,924.33,1405.36,19503220.69,Motorcycle,18900,Wuse Market,8,Cold Storage,No,Yes,No
AGR-600003,FRM-01316,Pepper,Kaduna,South Micheleview,1/10/2022,Dry Season,16480.15,17.7,13563.16,125.61,265.98,3607529.3,Boat,13200,Oja Oba,16,Warehouse,No,Yes,Yes
AGR-600004,FRM-04837,Soybean,Ogun,Christopherberg,7/5/2023,Off-Season,36476.81,8.4,33412.76,377.6,780.16,26067298.84,Boat,9600,Oja Oba,5,None,Yes,Yes,No
AGR-600005,FRM-07265,Groundnut,Borno,South Veronica,8/19/2023,Dry Season,27622.74,11.9,24335.63,290.16,843.51,20527347.26,Motorcycle,34600,Dawanau Market,15,Warehouse,Yes,Yes,Yes
AGR-600006,FRM-02115,Cassava,Oyo,North Anthony,12/15/2022,Off-Season,45953.87,2.9,44621.21,324.29,812.21,36241792.97,Rail,11100,Dawanau Market,21,Open Air,Yes,No,Yes
AGR-600007,FRM-04846,Cowpea,Benue,New Valerie,8/5/2021,Wet Season,29735.2,13.3,25780.42,906.56,1808.94,46635232.95,Motorcycle,22000,Gbagi Market,18,Open Air,No,Yes,No
AGR-600008,FRM-01535,Yam,Imo,Kylefurt,11/8/2021,Off-Season,26271.94,22.2,20439.57,204.27,597.13,12205080.43,Van,36200,Oyingbo,21,None,Yes,No,Yes
AGR-600009,FRM-04300,Maize,Benue,Chambersland,9/17/2023,Wet Season,22640.74,8,20829.48,1955.06,5805.37,120922838.3,Motorcycle,23900,Gbagi Market,7,None,Yes,Yes,Yes
